pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,0,0,0,0,,,,,200.73162749999983,201.7297639000003,201.7297639000003,201.7297639000003,201.7297639000003,201.74733380000043,202.71255580000025,202.71255580000025,x,1,1.2169322000004286,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,0,1,1,1,,,,,203.96168129999978,204.94580369999994,204.94580369999994,204.94580369999994,204.94580369999994,204.96218869999984,205.94618020000007,205.94618020000007,v,1,0.8407200000006014,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,0,2,2,2,,,,,206.81247639999992,207.81128480000052,207.81128480000052,207.81128480000052,207.81128480000052,207.82774650000056,208.81250500000033,208.81250500000033,c,1,0.3687373999996453,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,0,3,3,3,,,,,209.21188260000008,210.2112149999998,210.2112149999998,210.2112149999998,210.2112149999998,210.2112149999998,211.2106663999998,211.2106663999998,z,1,0.5139604999999392,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,1,0,4,0,,,,,211.74369840000008,212.74304380000058,212.74304380000058,212.74304380000058,212.74304380000058,212.74304380000058,213.74398260000044,213.74398260000044,x,1,0.35037289999991117,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,1,1,5,1,,,,,214.12640599999986,215.1268157999998,215.1268157999998,215.1268157999998,215.1268157999998,215.1268157999998,216.12610610000002,216.12610610000002,v,1,0.5062840999994478,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,1,2,6,2,,,,,216.65907519999973,217.65975089999984,217.65975089999984,217.65975089999984,217.65975089999984,217.65975089999984,218.65884180000057,218.65884180000057,c,1,0.308610000000499,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,1,3,7,3,,,,,218.9918300000004,219.99100409999983,219.99100409999983,219.99100409999983,219.99100409999983,219.99100409999983,220.99137519999977,220.99137519999977,z,1,0.4839448999996421,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,2,0,8,0,,,,,221.5077685000001,222.50723190000053,222.50723190000053,222.50723190000053,222.50723190000053,222.52364720000014,223.50719909999998,223.50719909999998,x,1,0.43954140000050756,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,2,1,9,1,,,,,223.9734438999999,224.97327369999994,224.97327369999994,224.97327369999994,224.97327369999994,224.97327369999994,225.97364229999994,225.97364229999994,v,1,0.5897958000000472,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
